Employee Number,Employee Name,Region,Organization Name,Original Date Of Hire,Job Title
27539,Kingsley  Raspe,Head Office,909  Learning and Development,01-Jul-13,HR|eLearning Consultant
11691,Marilyn Gilbert,Region 9,008 Store 21,11/01/2012,Software Engineer II
7700,Margaret Kelley,Region 8,009 Store 2,24/08/1996,Paralegal
18060,Alice Woods,Region 3,007 Store 22,19/06/1999,Sales Associate
319,Jennifer Foster,Region 1,004 Store 15,29/01/2003,Sales Representative
3504,Dennis Campbell,Region 6,009 Store 18,30/06/1995,Analog Circuit Design manager
8288,Edward Peterson,Region 4,009 Store 28,20/08/2011,Environmental Specialist
11576,Daniel Coleman,Region 10,007 Store 17,01/05/1997,Geological Engineer
20601,Todd Thomas,Region 1,010 Store 21,24/05/1999,Programmer Analyst I
26302,Eugene Ruiz,Region 5,005 Store 5,15/06/1995,General Manager
2853,Larry Day,Region 5,009 Store 6,06/07/1996,Geologist I
27459,Ernest Lane,Region 3,004 Store 15,01/09/1998,Marketing Manager
6057,Rachel Wells,Region 3,006 Store 5,03/07/1999,Payment Adjustment Coordinator
25318,Joe Ramos,Region 5,003 Store 3,19/07/2011,Senior Financial Analyst
8023,Lois Young,Region 9,003 Store 2,09/01/1991,Business Systems Development Analyst
25724,Beverly Jones,Region 7,003 Store 15,14/04/1990,Software Engineer I
24324,Lillian Foster,Region 7,009 Store 13,11/05/2006,Food Chemist
26336,Billy Owens,Region 2,010 Store 2,19/11/2009,Developer III
10321,Roger Cunningham,Region 9,005 Store 24,06/03/2012,Biostatistician III
25208,Donna Howell,Region 10,008 Store 21,18/10/1997,Associate Professor
21972,Carolyn Johnston,Region 7,002 Store 19,28/07/1996,Physical Therapy Assistant
4876,Kathy Sanchez,Region 5,004 Store 6,20/08/2009,VP Accounting
4745,Peter Peterson,Region 4,003 Store 26,10/11/2006,Media Manager I
1281,Willie Phillips,Region 2,004 Store 5,10/02/2006,Assistant Manager
16114,Katherine Burns,Region 4,010 Store 17,21/10/2001,Accountant IV
4705,Norma Schmidt,Region 4,008 Store 4,04/06/2014,Software Test Engineer I
290,Frank Webb,Region 2,008 Store 10,25/07/1991,VP Quality Control
19423,Donald Sullivan,Region 5,005 Store 7,25/02/2013,Tax Accountant
8346,Brian Hill,Region 2,006 Store 22,10/04/2011,Human Resources Manager
17530,Julie Tucker,Region 7,008 Store 8,30/08/1990,VP Quality Control
15258,Joyce Burton,Region 2,004 Store 3,09/01/1995,Director of Sales
1929,Melissa Little,Region 8,008 Store 22,21/12/1991,Cost Accountant
17131,Carl Lane,Region 1,007 Store 6,04/09/1999,Nurse Practicioner
19491,Peter Wood,Region 2,006 Store 4,04/08/1997,Developer II
8548,Debra Crawford,Region 10,007 Store 28,06/02/2012,Recruiting Manager
19366,Anna Garza,Region 8,002 Store 12,18/01/2013,Product Engineer
20453,Tina Oliver,Region 6,008 Store 2,26/01/2014,Senior Financial Analyst
3186,Antonio Lane,Region 1,008 Store 12,28/04/2008,Human Resources Assistant I
5223,Marilyn Torres,Region 2,007 Store 18,04/10/1992,Nurse Practicioner
22582,Raymond Holmes,Region 2,004 Store 1,11/09/1994,Senior Financial Analyst
1725,Helen Price,Region 10,010 Store 12,23/04/2008,Chemical Engineer
4159,Beverly Rose,Region 6,002 Store 26,11/06/1996,Social Worker
15295,Chris Kim,Region 10,006 Store 2,30/03/1997,Cost Accountant
1171,Benjamin Reed,Region 8,010 Store 18,06/03/2006,Health Coach III
14110,Ruby Weaver,Region 1,002 Store 14,03/02/2002,Assistant Media Planner
2902,Christine Morales,Region 6,008 Store 15,02/05/2005,VP Sales
